2;3;4;Name;DAD;GP;TF;EA;IDD;EV;VC;DFM;CP;distanciaRequerida;distanciaPredict;residuos
2;3;4;1;5000;0.6;1;50;2;5;5;0;0;4065.29;4091.267968;-16.15475476
2;3;4;2;5200;0.6;1;50;2;5;5;0;0;4219.9016;4236.056355;-25.97796797
2;3;4;3;5000;1;1;50;2;5;5;0;0;4211.15;4227.783623;-9.217562293
2;3;4;4;5200;1;1;50;2;5;5;0;0;4371.596;4380.813562;-16.6336235
2;3;4;5;5000;0.6;3;50;2;5;5;0;0;4465.29;4488.256385;-13.14317175
2;3;4;6;5200;0.6;3;50;2;5;5;0;0;4619.9016;4633.044772;-13.14317175
2;3;4;7;5000;1;3;50;2;5;5;0;0;4611.15;4624.77204;-13.14317175
2;3;4;8;5200;1;3;50;2;5;5;0;0;4771.596;4777.801979;-22.96638496
2;3;4;9;5000;0.6;1;70;2;5;5;0;0;4465.29;4488.256385;-22.96638496
2;3;4;10;5200;0.6;1;70;2;5;5;0;0;4619.9016;4633.044772;-22.96638496
2;3;4;11;5000;1;1;70;2;5;5;0;0;4611.15;4624.77204;-6.205979282
2;3;4;12;5200;1;1;70;2;5;5;0;0;4771.596;4777.801979;-6.205979282
2;3;4;13;5000;0.6;3;70;2;5;5;0;0;4865.29;4885.244802;-6.205979282
2;3;4;14;5200;0.6;3;70;2;5;5;0;0;5019.9016;5030.033189;-13.62204049
2;3;4;15;5000;1;3;70;2;5;5;0;0;5011.15;5021.760457;-13.62204049
2;3;4;16;5200;1;3;70;2;5;5;0;0;5171.596;5174.790396;-13.62204049
2;3;4;17;5000;0.6;1;50;4;5;5;0;0;4465.29;4488.256385;9.951402764
2;3;4;18;5200;0.6;1;50;4;5;5;0;0;4619.9016;4633.044772;7.996915969
2;3;4;19;5000;1;1;50;4;5;5;0;0;4611.15;4624.77204;2.032468355
2;3;4;20;5200;1;1;50;4;5;5;0;0;4771.596;4777.801979;1.185039151
2;3;4;21;5000;0.6;3;50;4;5;5;0;0;4865.29;4885.244802;2.262715344
2;3;4;22;5200;0.6;3;50;4;5;5;0;0;5019.9016;5030.033189;1.675806139
2;3;4;23;5000;1;3;50;4;5;5;0;0;5011.15;5021.760457;-10.13158874
2;3;4;24;5200;1;3;50;4;5;5;0;0;5171.596;5174.790396;-10.13158874
2;3;4;25;5000;0.6;1;70;4;5;5;0;0;4865.29;4885.244802;-10.13158874
2;3;4;26;5200;0.6;1;70;4;5;5;0;0;5019.9016;5030.033189;10.30787029
2;3;4;27;5000;1;1;70;4;5;5;0;0;5011.15;5021.760457;9.885375498
2;3;4;28;5200;1;1;70;4;5;5;0;0;5171.596;5174.790396;-19.95480195
2;3;4;29;5000;0.6;3;70;4;5;5;0;0;5265.29;5282.233219;-19.95480195
2;3;4;30;5200;0.6;3;70;4;5;5;0;0;5419.9016;5427.021606;-19.95480195
2;3;4;31;5000;1;3;70;4;5;5;0;0;5411.15;5418.748874;11.57092276
